file,opt
hs001.smt2,0.0
hs002.smt2,0.050426188
hs003.smt2,0.0
hs004.smt2,2.6666667
hs005.smt2,-1.913223
hs006.smt2,0.0
hs007.smt2,-1.7320508
hs008.smt2,-1.0
hs009.smt2,-0.5
hs010.smt2,-1.0
hs011.smt2,-8.4984642
hs012.smt2,-30.0
hs013.smt2,1.0
hs014.smt2,1.393465
hs015.smt2,3.0650001
hs016.smt2,0.25
hs017.smt2,1.0
hs018.smt2,5.0
hs019.smt2,-6961.8139
hs020.smt2,38.19873
hs021.smt2,-99.96
hs022.smt2,1.0
hs023.smt2,2.0
hs024.smt2,-1.0
hs025.smt2,0.0
hs026.smt2,0.0
hs027.smt2,0.04
hs028.smt2,0.0
hs029.smt2,-22.627417
hs030.smt2,1.0
hs031.smt2,6.0
hs032.smt2,1.0
hs033.smt2,-4.5857864
hs034.smt2,-0.83403245
hs035.smt2,0.11111111
hs036.smt2,-3300.0
hs037.smt2,-3456.0
hs038.smt2,0.0
hs039.smt2,-1.0
hs040.smt2,-0.25
hs041.smt2,1.9259259
hs042.smt2,13.857864
hs043.smt2,-44.0
hs044.smt2,-15.0
hs045.smt2,1.0
hs046.smt2,0.0
hs047.smt2,0.0
hs048.smt2,0.0
hs049.smt2,0.0
hs050.smt2,0.0
hs051.smt2,0.0
hs052.smt2,5.3266476
hs053.smt2,4.0930233
hs054.smt2,-0.90807476
hs055.smt2,6.3333333
hs056.smt2,-3.456
hs057.smt2,0.02845967
hs059.smt2,-7.8042263
hs060.smt2,0.0325682
hs061.smt2,-143.64614
hs062.smt2,-26272.514
hs063.smt2,961.71517
hs064.smt2,6299.8424
hs065.smt2,0.95352886
hs066.smt2,0.51816327
hs067.smt2,-1162.0365
hs070.smt2,0.0074984636
hs071.smt2,17.014017
hs072.smt2,727.67938
hs073.smt2,29.894378
hs074.smt2,5126.4981
hs075.smt2,5174.4129
hs076.smt2,-4.6818182
hs077.smt2,0.24150513
hs078.smt2,-2.9197004
hs079.smt2,0.078776821
hs080.smt2,0.053949848
hs081.smt2,0.053949848
hs083.smt2,-30665.539
hs084.smt2,-5280335.1
hs085.smt2,-1.9051338
hs086.smt2,-32.348679
hs087.smt2,8927.5977
hs088.smt2,1.3626568
hs089.smt2,1.3626568
hs090.smt2,1.3626568
hs091.smt2,1.3626568
hs092.smt2,1.3626568
hs093.smt2,135.07596
hs095.smt2,0.015619514
hs096.smt2,0.015619513
hs097.smt2,3.1358091
hs098.smt2,3.1358091
hs099.smt2,-831079890.0
hs100.smt2,680.63006
hs101.smt2,1809.7648
hs102.smt2,911.88057
hs103.smt2,543.66796
hs104.smt2,3.9511634
hs105.smt2,1138.4162
hs106.smt2,7049.3309
hs107.smt2,5055.0118
hs108.smt2,-0.8660254
hs109.smt2,5362.0693
hs110.smt2,-45.77847
hs111.smt2,-47.76109
hs112.smt2,-47.761086
hs113.smt2,24.306209
hs114.smt2,-1768.807
hs116.smt2,97.588409
hs117.smt2,32.348679
hs118.smt2,664.82045
hs119.smt2,244.8997
s203.smt2,0.0
s215.smt2,0.0
s216.smt2,1.0
s217.smt2,-0.8
s218.smt2,0.0
s219.smt2,-1.0
s220.smt2,1.0
s221.smt2,-1.0
s222.smt2,-1.5
s223.smt2,-0.83403245
s224.smt2,-304.0
s225.smt2,2.0
s226.smt2,-0.5
s227.smt2,1.0
s228.smt2,-3.0
s229.smt2,0.0
s230.smt2,0.375
s231.smt2,0.0
s232.smt2,-1.0
s233.smt2,0.0
s234.smt2,-0.8
s235.smt2,0.04
s236.smt2,-58.903436
s237.smt2,-58.903436
s238.smt2,-58.903436
s239.smt2,-58.903435
s241.smt2,0.0
s242.smt2,0.0
s244.smt2,0.0
s247.smt2,0.0
s248.smt2,-0.8
s249.smt2,1.0
s250.smt2,-3300.0
s251.smt2,-3456.0
s252.smt2,0.04
s253.smt2,69.282032
s257.smt2,0.0
s259.smt2,-8.544621
s262.smt2,-10.0
s263.smt2,-1.0
s264.smt2,-44.0
s265.smt2,0.97474658
s268.smt2,0.0
s269.smt2,4.0930233
s270.smt2,-1.0
s277.smt2,5.0761905
s278.smt2,7.8385281
s279.smt2,10.60595
s280.smt2,13.375428
s284.smt2,-1840.0
s285.smt2,-8252.0
s307.smt2,124.36
s315.smt2,-0.8
s316.smt2,334.31458
s317.smt2,372.46661
s318.smt2,412.75005
s319.smt2,452.4044
s320.smt2,485.53146
s321.smt2,496.11237
s322.smt2,499.96001
s323.smt2,3.7989446
s324.smt2,5.0
s325.smt2,3.7913415
s326.smt2,-79.807821
s327.smt2,0.02845967
s328.smt2,1.744152
s329.smt2,-6961.8139
s330.smt2,1.6205833
s331.smt2,4.258
s332.smt2,114.95015
s335.smt2,-0.004472137
s336.smt2,-0.33789573
s337.smt2,6.0
s338.smt2,-10.992806
s339.smt2,3.3616797
s340.smt2,-inf
s341.smt2,-22.627417
s342.smt2,-22.627417
s343.smt2,-5.6847825
s344.smt2,0.0325682
s345.smt2,0.0325682
s346.smt2,-5.6847825
s347.smt2,17374.625
s348.smt2,36.97084
s353.smt2,-39.933673
s354.smt2,0.11378386
s355.smt2,69.675463
s356.smt2,2.3811648
s357.smt2,0.3584566
s358.smt2,5.46e-05
s359.smt2,-5504451.0
s360.smt2,-5280335.1
s361.smt2,-776412.12
s364.smt2,0.060600199
s365.smt2,23.313708
s366.smt2,704.3056
s367.smt2,-37.41296
s368.smt2,-1.0
s369.smt2,7049.248
s372.smt2,13390.093
s373.smt2,13390.093
s374.smt2,0.233264
s375.smt2,-15.62382
s376.smt2,-4430.0879
s377.smt2,-795.00098
s378.smt2,-47.76
s380.smt2,3.1682215e-06
s381.smt2,0.101361
s382.smt2,1.0340306
s383.smt2,728566.0
s384.smt2,-8310.259
s385.smt2,-8315.2859
s387.smt2,-8250.1417
s388.smt2,-5821.0842
s389.smt2,-5809.7197
s392.smt2,-1698878.0
s393.smt2,0.86337998
s394.smt2,1.9166667
s395.smt2,1.9166668
